movie_ID,title,genre,running_time,netizen_ratings,num_reviews,num_article,country,rating,companyNm,released_year,released_month,num_viewers
20080268,스페어,액션,98,7.22,812,333,한국,15세이상관람가,(주)필름더데이즈,2008,8,45290
20080291,삼국지:용의 부활,사극,101,6.5,2483,420,중국,15세이상관람가,에스케이텔레콤(주),2008,4,1036172
20080337,테이큰,범죄,93,9.2,11509,229,프랑스,청소년관람불가,㈜스튜디오이쩜영,2008,4,2379830
20080348,연의 황후,사극,94,6.33,1016,129,홍콩,15세이상관람가,씨제이엔터테인먼트,2008,4,199200
20080349,버킷 리스트:죽기전에 꼭 하고싶은것들,코미디,96,9.07,2671,35,미국,12세이상관람가,워너브러더스 코리아(주),2008,4,284360
20080350,내가 숨쉬는 공기,범죄,95,7.09,685,0,미국,청소년관람불가,롯데쇼핑㈜롯데엔터테인먼트,2008,4,117058
20080363,스트리트 킹,범죄,108,7.09,830,93,미국,청소년관람불가,이십세기폭스코리아(주),2008,4,274628
20080364,킬위드미,범죄,100,6.34,1042,19,미국,청소년관람불가,(주)엠플러스픽쳐스,2008,4,211740
20080365,패솔로지,공포(호러),95,5.96,428,0,미국,청소년관람불가,롯데쇼핑㈜롯데엔터테인먼트,2008,4,91253
20080379,포비든 킹덤: 전설의 마스터를 찾아서,액션,105,7.32,2931,33,미국,12세이상관람가,(주)시네마서비스,2008,4,1221352
20080394,비스티 보이즈,드라마,132,7,4265,1495,한국,청소년관람불가,롯데쇼핑㈜롯데엔터테인먼트,2008,4,727409
20080396,아이언맨,SF,125,8.88,10370,1066,미국,12세이상관람가,씨제이엔터테인먼트,2008,4,4316003
20080476,스피드 레이서,액션,133,7.54,4429,104,미국,12세이상관람가,워너브러더스 코리아(주),2008,5,804631
20080479,나니아 연대기:캐스피언 왕자 ,어드벤처,145,8.63,3798,28,미국,전체관람가,한국소니픽쳐스릴리징브에나비스타영화㈜,2008,5,1478573
20080516,서울이 보이냐,가족,84,6.08,176,125,한국,전체관람가,(주)시네마서비스,2008,5,50956
20080637,서양 골동 양과자점 앤티크,드라마,109,8.21,5053,965,한국,15세이상관람가,(주)쇼박스,2008,11,1173310
20080641,라스베가스에서만 생길 수 있는 일,멜로/로맨스,98,8.44,1323,0,미국,15세이상관람가,이십세기폭스코리아(주),2008,5,704834
20080653,쿵푸 팬더,애니메이션,92,9.02,7993,58,미국,전체관람가,씨제이엔터테인먼트,2008,6,4673009
20080654,겟 썸,액션,112,8.6,1987,0,미국,12세이상관람가,㈜스튜디오이쩜영,2008,5,122410
20080659,88분,드라마,106,6.69,1054,10,미국,15세이상관람가,(주)프라임엔터테인먼트,2008,5,284619
